plant,recording_date,min_width,avg_width,max_width,min_height,avg_height,max_height,min_biomass,avg_biomass,max_biomass,avg_solidity,avg_convex_hull_area,avg_longest_path,avg_center_of_mass_x,avg_center_of_mass_y
-,dd/mm/yyyy,mm,mm,mm,mm,mm,mm,cm2,cm2,cm2,-,cm2,mm,pixels,pixels
NPEC51.VTC3.AP24.Moneymaker.Mon_bo.0,2021-11-12,1304.2187151553999,823.6536,387.759,1433.7736184444166,828.4820166666665,443.3972166666667,1515.2747898408,834.3503999999998,488.9329,1302.6979375177382,2594.318813195759,2685.4213350445834,6168.933699999999,0.536113615207327
NPEC51.VTC3.AP24.Moneymaker.Mon_bo.0,2021-11-16,1387.3392028260998,935.97,381.0735,1562.3130968687165,939.5356,426.98060000000004,1686.1403020294001,943.1012,471.1049,1303.5206585161789,2550.206663724448,3007.9541416461416,6825.598366666666,0.5199661917681233
NPEC51.VTC3.AP24.Moneymaker.Mon_bo.0,2021-11-19,1511.5660225325,994.8024,378.3993,1681.465440898067,1001.6364666666668,448.9684666666667,1872.2659912198,1008.1734,520.1319,1301.274188829516,2475.766415410006,3408.6836020129335,7262.607216666666,0.4928704606041747
NPEC51.VTC3.AP24.Moneymaker.Mon_bo.0,2021-11-23,1798.9527795004,1050.0692,411.3811,1934.41813752855,1059.1317666666666,456.54536666666667,2123.2762366989,1071.0171,520.1319,1305.1543742740903,2399.570729967509,3733.6784911076325,7666.188566666667,0.5182102697337444
NPEC51.VTC3.AP24.Moneymaker.Mon_bo.0,2021-11-26,1876.2906096272,1074.5827,418.958,2045.3507381225165,1079.2625500000001,470.5106333333333,2244.0187618907003,1082.6053,515.6749,1304.5371759424572,2373.157475575754,4156.918632820816,7814.606666666667,0.4921031367316726
NPEC51.VTC3.AP24.Moneymaker.Mon_bo.0,2021-11-29,2072.0487640977,1082.6053,439.0145,2211.871476754,1089.7365000000002,477.64183333333335,2355.553929571,1096.422,521.9147,1304.01032508408,2311.180244802969,4250.985148911741,7878.490333333332,0.5204945184205388
NPEC51.VTC3.AP24.Moneymaker.Mon_bo.0,2021-12-06,1351.5387719583,537.9599,377.5079,1441.9456862422,543.1597333333332,433.88894999999997,1579.8037653324,548.6567,472.44199999999995,1304.375509972936,2767.671747552124,1925.6731343775252,4244.921083333334,0.7521437801532658
NPEC51.VTC3.AP24.Moneymaker.Mon_bo.0,2021-12-09,1374.4032131573001,537.5142,389.0961,1458.434173073833,542.4169,439.53448333333336,1624.9466346848997,547.7653,479.5732,1305.4189642047625,2766.0615850525987,1943.0485867170082,4240.761216666667,0.7532140545218863
NPEC51.VTC3.AP24.Moneymaker.Mon_bo.0,2021-12-18,1372.5677011096998,526.3717,377.5079,1484.4452063544334,532.9829166666667,436.26601666666664,1598.5581692732999,541.5255,474.6705,1301.1342070890687,2780.361344784424,1911.07098049885,4306.799099999999,0.7805986542123944
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-10-03,18.295525929,76.2147,246.4721,20.670037546133333,81.78595,270.9856,22.9518465346,86.9115,283.4652,1306.0207608989872,3296.8400015522607,66.00228512576666,1768.4633166666665,0.3156193133443757
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-10-09,53.66687605839999,135.9385,249.1463,58.921790780533335,149.53234999999998,272.09985,66.805487187,158.2235,283.4652,1307.2291113606013,3248.5451264716953,228.4338445906,1823.9529666666667,0.2587307227688671
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-10-11,82.63777183999998,192.0967,259.8431,88.43267937411666,212.7474666666667,278.11679999999996,97.65758416889999,232.6554,301.7389,1305.5182234743402,3201.8901791298376,387.7299031811917,2018.6495833333336,0.22991588612844524
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-10-15,173.0983212162,238.4495,281.2367,189.76095655740002,250.78053333333332,365.9196999999999,215.8256249303,264.3001,406.0327,1314.9244244340423,3094.8888623670314,698.1329019025333,2627.9214833333335,0.2736614012761735
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-10-17,280.5870191552,261.6259,319.5669,299.48544325135,265.56291666666664,402.39281666666665,329.49030442339995,269.6485,460.4081,1301.5587349982488,3041.507536227174,817.459891062675,2793.5733166666664,0.3682983078703017
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-10-20,471.8974339346,388.2047,482.6931,493.2004980022,391.3246000000001,520.80045,531.9647643408,393.5531,574.0616,1308.6308058615398,2866.9032836884867,1494.5618773289082,3581.0509333333334,0.3304683256112991
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-10-23,695.9312144717,490.27,513.8921,735.8539325878165,496.58408333333324,577.9986166666666,755.1523023105,502.7496,629.3284,1308.0905127382955,2745.191656018405,1999.3099775952162,3989.1635666666666,0.36867796771672906
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-10-26,483.69119478589994,386.8676,324.9153,709.9912235130832,423.63785,346.90316666666666,794.7826760655,440.7973,359.6799,1309.4663195112194,2990.2449453946697,1079.2517833365248,3277.8263666666667,0.659556162235693
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-11-01,1060.683612355,699.7489999999999,619.0772999999998,1113.5986038787498,703.4631666666666,649.0877666666667,1170.6872001774,705.9888,700.1947,1310.9982208493623,2627.5612932645736,3261.393195996308,5066.0490500000005,0.341423457724749
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-11-04,1274.6518739038002,755.0158,607.9348,1338.64549171485,761.8498666666666,643.1450999999998,1439.7883636407998,764.8212,687.2694,1307.9613046255888,2570.0190765349103,3502.3562974724337,5585.140983333332,0.38359970213570654
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-11-07,991.7883430532,651.6134,431.4376,1410.68338012845,654.2133166666666,474.52193333333327,1554.0668669679999,656.9617999999998,517.9034,1308.6550795179571,2705.03417399514,2408.5558298091246,4856.718616666666,0.583317522852422
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-11-08,1545.9282383327,861.9838,651.6134,1615.2545748578002,865.9951000000001,719.6569333333333,1725.2541897104002,870.4521,785.7691,1307.2985157445837,2498.988536877995,4332.0348916145995,6309.923466666666,0.3746708640904501
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-11-12,1758.1166094111,963.1577,623.5343,1939.3744173540501,970.95745,708.663,2040.4080326105,978.7572,767.0497,1304.9081997702297,2424.3931310608673,4808.503558384917,7040.8714666666665,0.40573989731274845
NPEC51.VTC3.AP26.Merlice.Mer_boh6.0,2021-11-16,1915.4859431891,1079.0397,645.3736,1995.01387291815,1088.17655,699.4518666666667,2142.2133972506,1099.5419,773.2895,1306.5526311753092,2376.9388304472322,5387.197731351683,7862.296566666667,0.37076979211001077
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-10-03,18.6848769694,92.2599,246.4721,22.765779115633332,103.03098333333332,270.3913333333333,29.153652392399998,113.6535,283.9109,1306.408388744385,3292.2725140056464,88.88725333539999,1763.9320333333333,0.2564616120971451
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-10-09,50.7606486497,156.4407,246.9178,56.438353574716665,160.0805833333333,271.13416666666666,64.78324555879999,168.9203,283.9109,1307.790662815604,3245.1429889671967,238.51823518544998,1812.3647666666666,0.236761534916921
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-10-11,70.71488947019999,181.3999,246.0264,83.9508383589,196.9994,270.5399,95.91146394180001,212.5989,283.4652,1307.2461952540323,3203.9035920098436,343.01959091566664,2033.06055,0.24440905050493114
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-10-15,145.19814079569997,251.3748,282.5738,174.33689455135,270.61418333333336,326.3266833333334,213.98216694310003,287.4765,381.5192,1306.8761577842051,3088.356920158576,676.0014736316333,2640.8467833333334,0.25799973229010065
